Name,Type,Description,Status,Ownership,Management,Coordination,Address,Acres,Location,County,GPS Coordinates,Plus Code,Trail Role,Parent Trail Name,Trail Segment Type,Trail Access Type,Trail Length (Miles),Features,Notes,URL,Unnamed: 21
Possum Creek MetroPark,Park District Park,"Farm, prairies, ponds, trails, and nature play areas within a large MetroPark.",Active,Five Rivers MetroParks,Five Rivers MetroParks,,,580,Dayton,Montgomery,"39.716935,-84.269138",,,,,,,Farm; Prairie Restoration Area,Farm + prairie,https://www.metroparks.org/places-to-go/possum-creek/,
Princeton Park,Municipal Park,Neighborhood park with open green space.,Active,City of Dayton,City of Dayton,,"Princeton Dr., Dayton, OH 45406",,Dayton,Montgomery,"39.77145,-84.22855",,,,,,,,,,https://liveindayton.org/princeton-heights/
Residence Park,Municipal Park,"Neighborhood park with playground, courts, picnic tables, and restrooms.",Active,City of Dayton,City of Dayton,,"W. Second St. at Elmhurst Rd., Dayton, OH 45417",,Dayton,Montgomery,"39.754,-84.258","86C3+JX Dayton, Ohio",,,,,Playground; Basketball Court; Restroom,,https://www.daytonohio.gov/Facilities/Facility/Details/Residence-Park-Shelter-20,,
River Ridge Conservation Area,Park District Conservation Area,Steep wooded slopes and riparian forest along the Great Miami River.,Active,Five Rivers MetroParks,Five Rivers MetroParks,,,,Dayton,Montgomery,,,,,,,,,,,https://www.metroparks.org/what-we-do/conservation-leadership/what-we-protect/
RiverScape Buffer Zone,Park District Conservation Area,Natural buffer area adjacent to RiverScape MetroPark.,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Near Monument Ave., Dayton, OH",,Dayton,Montgomery,,,,,,,,,,,
RiverScape MetroPark,Park District Park,Signature downtown riverfront park and event space.,Active,Five Rivers MetroParks,Five Rivers MetroParks,,,45,Dayton,Montgomery,"39.7631,-84.1889",,,,,,,Overlook,Downtown Dayton,,
Riverside Drive Bikeway Access,Access Point,Trail access point along the Great Miami River corridor.,Active,City of Dayton,City of Dayton,,"Riverside Dr., Dayton, OH",,Dayton,Montgomery,,,,Bikeway Access Point,Great Miami River Trail,,Access Point,,,https://www.miamivalleytrails.org/trails/great-miami-river-trail,
Riverside Park,Municipal Park,Open green space with river corridor access and trail connectivity.,Active,City of Dayton,City of Dayton,,"Great Miami River, Dayton, OH",,Dayton,Montgomery,,,,,,,,River Access,,https://www.miamivalleytrails.org/trails/great-miami-river-trail,
Rosedale Drive Green,Municipal Park,Small municipal green space along Rosedale Drive.,Active,City of Dayton,City of Dayton,,"Rosedale Dr., Dayton, OH",,Dayton,Montgomery,,,,,,,,,,,
Sand Ridge Prairie Conservation Area,Park District Conservation Area,Prairie and savanna habitat on glacial outwash soils; MetroParks manages restoration and invasive species removal.,Active,,Five Rivers MetroParks,,,5,Dayton,Montgomery,,,,,,,,,,,https://www.metroparks.org/what-we-do/conservation-leadership/what-we-protect/
Sandalwood Playground,Municipal Park,Neighborhood playground space.,Active,City of Dayton,City of Dayton,,"Sandalwood Dr., Dayton, OH",,Dayton,Montgomery,,,,,,,,,,,
Sheridan Park,Municipal Park,"Playground, basketball court, open green space, and picnic tables.",Active,City of Dayton,City of Dayton,,"1030 Harvard Blvd., Dayton, OH 45406",,Dayton,Montgomery,"39.783,-84.228","86C2+X2 Dayton, Ohio",,,,,Playground; Basketball Court; Picnic Shelter,,https://www.mypacer.com/parks/165643/sheridan-park-dayton,,
Shiloh Woods Conservation Area,Park District Conservation Area,Large forest conservation area managed for habitat protection.,Active,,Five Rivers MetroParks,,,385,Dayton,Montgomery,,,,,,,,,,,
St. Margaret's Park,Municipal Park,"Playground, picnic tables, restrooms, and water availability.",Active,City of Dayton,City of Dayton,,"3500 Park Overlook Dr., Dayton, OH 45417",,Dayton,Montgomery,"39.744,-84.245","86C3+RW Dayton, Ohio",,,,,Playground; Picnic Shelter; Restroom,,https://www.daytonohio.gov/Facilities/Facility/Details/St-Margarets-Park-Shelter-21,,
Stewart Street Bikeway Access,Trail Access Point,Bikeway access node along the Great Miami River Trail.,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Stewart St. Bridge, Dayton, OH",,Dayton,Montgomery,,,Bikeway Access Point,Great Miami River Trail,,Access Point,,,,,
Stewart Street Green,Municipal Park,Small municipal green space along Stewart Street.,Active,City of Dayton,City of Dayton,,"Stewart St., Dayton, OH",,Dayton,Montgomery,,,,,,,,,,,
Stroop Road Green,Municipal Park,Small municipal green space along Stroop Road.,Active,City of Dayton,City of Dayton,,"Stroop Rd., Dayton, OH",,Dayton,Montgomery,,,,,,,,,,,
Sunrise MetroPark,Park District Park,Small riverfront overlook park with views of downtown.,Active,Five Rivers MetroParks,Five Rivers MetroParks,,,3,Dayton,Montgomery,"39.7581,-84.206831",,,,,,,Overlook,,,
Triangle Park,Municipal Park,"Neighborhood park with playground, ballfields, picnic shelter, restrooms, and open green space.",Active,City of Dayton,City of Dayton,,"1700 Embury Park Rd., Dayton, OH 45414",,Dayton,Montgomery,"39.78503,-84.199596","86GJ+Q2 Dayton, Ohio",,,,,Playground; Baseball Diamond; Picnic Shelter; Restroom,,https://www.daytonohio.gov/facilities/facility/details/triangleparkpavilion-37,,
Walnut Hills Park,Municipal Park,"Playground, courts, restrooms, spray park, and open green space.",Active,City of Dayton,City of Dayton,,"2340 Wayne Ave., Dayton, OH 45420",7,Dayton,Montgomery,"39.7445,-84.1003","86C9+R4 Dayton, Ohio",,,,,Playground; Basketball Court; Restroom; Aquatics,,https://www.daytonohio.gov/facilities/facility/details/Walnut-Hills-Park-Shelter-33,,
Washington Park,Municipal Park,Playground and open green space with shaded areas.,Active,City of Dayton,City of Dayton,,"Dayton, OH 45403",,Dayton,Montgomery,"39.7700,-84.1440",,,,,,,Playground,,https://www.mapquest.com/us/ohio/washington-park-652512335,
Wegerzyn Gardens MetroPark,Park District Park,"Botanical gardens, children's garden, and river corridor trails within a large MetroPark.",Active,Five Rivers MetroParks,Five Rivers MetroParks,,,88,Dayton,Montgomery,"39.7986,-84.1917",,,,,,,Gardens; Nature Trail,,https://www.metroparks.org,
Welcome Park,Municipal Park,"Bike playground with pump tracks, flow trails, and multi?use trail features.",Active,City of Dayton,City of Dayton,,"1437 S. Edwin C. Moses Blvd., Dayton, OH 45402",,Dayton,Montgomery,"39.7375,-84.1992",,,,,,,Multi?Use Trail,,https://daytonbikeyard.com/,
Wesleyan MetroPark,Park District Park,Riverfront park with trails and access to Wolf Creek.,Active,Five Rivers MetroParks,Five Rivers MetroParks,,,62,Dayton,Montgomery,,,,,,,,River Access; Nature Trail,,,
Western Hills Park,Municipal Park,"Playground, courts, picnic areas, and restrooms.",Active,City of Dayton,City of Dayton,,"600 N. Westwood Ave., Dayton, OH 45402",,Dayton,Montgomery,"39.765,-84.238","86C2+5C Dayton, Ohio",,,,,Playground; Basketball Court; Picnic Shelter; Restroom,,https://www.daytonohio.gov/Facilities/Facility/Details/Western-Hills-Park-Shelter-34,,
Wolcott Park,Municipal Park,"Playground, basketball court, picnic tables, and open green space.",Active,City of Dayton,City of Dayton,,"620 E. Helena St., Dayton, OH 45404",,Dayton,Montgomery,"39.781,-84.178","86F7+Q6 Dayton, Ohio",,,,,Playground; Basketball Court; Picnic Shelter,,https://www.mypacer.com/parks/165644/wolcott-park-dayton,,
Wolf Creek Corridor,Municipal Park,Trail access and river corridor greenspace.,Active,City of Dayton,City of Dayton,,"Wolf Creek, Dayton, OH",,Dayton,Montgomery,,,,,,,,River Access,,https://www.miamivalleytrails.org/trails/wolf-creek-trail,
Woodland Cemetery & Arboretum,Cemetery; Arboretum,Historic rural cemetery and Level II arboretum with extensive tree collections.,Active,Woodland Cemetery Association,Woodland Cemetery Association,,"118 Woodland Ave., Dayton, OH 45409",200,Dayton,Montgomery,"39.741,-84.178","85CW+QW Dayton, Ohio",,,,,Arboretum; Historic Site,One of the oldest rural cemeteries in the U.S.,https://woodlandcemetery.org,,
Wright Brothers Hill,Federal Memorial Green,Memorial hilltop with Olmsted?designed landscape and aviation monuments.,Active,National Park Service,National Park Service,,"2380 Memorial Road, Dayton, OH 45433",27,Dayton,Montgomery,"39.814,-84.071","86QV+XW Dayton, Ohio",,,,,Historic Marker,Overlooks Huffman Prairie Flying Field; part of Dayton Aviation Heritage NHP.,https://www.nps.gov/places/wright-brothers-memorial.htm,,
Xenia Avenue Stormwater Green,Controversial,Stormwater green infrastructure site with drainage features and vegetation.,Active,City of Dayton,,,"Xenia Ave., Dayton, OH",,Dayton,Montgomery,,,,,,,,Rain Garden,,https://www.daytonohio.gov/409/Storm-Water-Management-Program,
Bruin Park,Municipal Park,Neighborhood park within Englewood's municipal park system.,Active,City of Englewood,City of Englewood,,"201 N Main Street, Englewood, OH 45322",,Englewood,Montgomery,"39.88013,-84.30313",,,,,,,Playground; Picnic Shelter; Picnic Tables,Features from City of Englewood facility page,https://www.englewood.oh.us/Facilities/Facility/Details/Bruin-Park-1,
Centennial Park,Municipal Park,Community park providing multi?use recreation space within Englewood's park system.,Active,City of Englewood,City of Englewood,,"321 Union Boulevard, Englewood, OH 45322",,Englewood,Montgomery,"39.87343,-84.3118",,,,,,,Fishing Pond; Picnic Shelter; Playground,Amenities summarized from city bikeways and recreation brochure,https://www.englewood.oh.us/189/Parks-Playgrounds,
Doctor Bowers Lakes,Municipal Park,Lakeside public open space within Englewood's park system.,Active,City of Englewood,City of Englewood,,"Englewood, OH 45322",,Englewood,Montgomery,,,,,,,,,,,https://www.englewood.oh.us/189/Parks-Playgrounds
Englewood MetroPark,Park District Park,"Large regional natural area with waterfalls, forest, river corridor, dam, and multiple trail systems.",Active,Five Rivers MetroParks,Five Rivers MetroParks,,"4361 National Rd., Englewood, OH",1900,Englewood,Montgomery,"39.8795,-84.316","86GJ+Q4 Englewood, Ohio",,,,,Waterfall; Nature Trail,Includes Martindale Falls; Includes Englewood Dam (MCD) and multiple waterfalls,https://www.metroparks.org/places-to-go/englewood-metropark/,,
Englewood Reserve (formerly Englewood Hills South Park),Municipal Park,Wooded neighborhood park with trails and natural areas.,Active,City of Englewood,City of Englewood,,"400 S. Main St., Englewood, OH",,Englewood,Montgomery,,,,,,,,Nature Trail,Formerly Englewood Hills South Park,https://www.englewood.oh.us/,
Englewood Reserve Bikeway,Land Trail,Paved bikeway corridor within Englewood's recreational network.,Active,City of Englewood,City of Englewood,,"Englewood, OH 45322",,Englewood,Montgomery,,,,Trail System,,Linear,,,Multi-Use Trail,Segment and amenity details generalized from city bikeways brochure,https://www.englewood.oh.us/189/Parks-Playgrounds
Englewood YMCA,Recreation Facility,Recreation facility and grounds associated with the Englewood YMCA.,Active,City of Englewood,City of Englewood,,"West National Road, Englewood, OH 45322",,Englewood,Montgomery,,,,,,,,,,,https://www.englewood.oh.us/189/Parks-Playgrounds
Gazebo Park,Municipal Park,Small municipal park centered on a gazebo structure.,Active,City of Englewood,City of Englewood,,"Englewood, OH 45322",,Englewood,Montgomery,,,,,,,,Pavilion,,https://www.englewood.oh.us/189/Parks-Playgrounds,
Government Center Playground,Municipal Park,Playground area at or near the Englewood Government Center.,Active,City of Englewood,City of Englewood,,"Englewood, OH 45322",,Englewood,Montgomery,,,,,,,,Playground,,https://www.englewood.oh.us/189/Parks-Playgrounds,
Jake Grossnickle Memorial Park,Municipal Park,Memorial park serving surrounding neighborhoods within Englewood's park system.,Active,City of Englewood,City of Englewood,,"137 Heathcliff Road, Englewood, OH 45322",,Englewood,Montgomery,,,,Trailhead,Englewood Reserve Bikeway,,Trailhead,3,,Memorial park,https://www.englewood.oh.us/189/Parks-Playgrounds
Jake Grossnickle Park,Municipal Park,Neighborhood park with playground and open space.,Active,City of Englewood,City of Englewood,,,,Englewood,Montgomery,,,,,,,,Playground,,https://www.englewood.oh.us/,
Oberer Field,Municipal Park,Athletic field complex used for youth sports and community events.,Active,City of Englewood,City of Englewood,,"115 Union Blvd., Englewood, OH",,Englewood,Montgomery,,,,,,,,Football Field; Soccer Pitch,,https://www.englewood.oh.us/,
Oberer Field,Municipal Park,Athletic field used for community sports within Englewood's park system.,Active,City of Englewood,City of Englewood,,"Arcadia Boulevard, Englewood, OH 45322",,Englewood,Montgomery,,,,,,,,Football Field; Soccer Pitch,,https://www.englewood.oh.us/189/Parks-Playgrounds,
Union & Old Salem Trail Spur,Bikeway Spur,Connector spur between Union and Old Salem Rd. bikeways.,Active,City of Englewood,City of Englewood,,"Old Salem Rd., Englewood, OH 45322",,Englewood,Montgomery,"39.87,-84.307","86MR+H8 Englewood, Ohio",Bikeway Spur,,Connector,Connector,,,Part of the regional bikeway system.,,
Ward Field,Municipal Park,Athletic field providing organized and informal sports space.,Active,City of Englewood,City of Englewood,,"Hoke Road, Englewood, OH 45322",,Englewood,Montgomery,,,,,,,,Football Field; Soccer Pitch,,https://www.englewood.oh.us/189/Parks-Playgrounds,
Wenger Village Park,Municipal Park,Neighborhood park.,Active,City of Englewood,City of Englewood,,"Wenger Rd., Englewood, OH",,Englewood,Montgomery,,,,,,,,Playground,,,
YMCA Bikeway,Land Trail,Paved bikeway segment connecting park and YMCA areas.,Active,City of Englewood,City of Englewood,,"Englewood, OH 45322",,Englewood,Montgomery,,,,Trail System,,Linear,,,Multi-Use Trail,Route and function derived from city bikeways brochure,https://www.englewood.oh.us/189/Parks-Playgrounds
Lake of the Woods Campground,Private Campground,"Private 250-acre campground with fishing lake, RV sites, tent sites, and recreation amenities.",Private,Private,,,"10891 Jordan Rd., Farmersville, OH 45325",,Farmersville,Montgomery,"39.6795,-84.4397","86C2+Q4 Farmersville, Ohio",,,,,Campground; Fishing Pond,,https://lakeofthewoodscampground.com,,
Friendship Park,Township Park,Small community green at rural crossroads,Active,German Township,,,"Dayton Germantown Pike at Friend Rd., Germantown, OH 45327",,German Township,Montgomery,"39.6885,-84.402",,,,,,,,,,
Holp Road Cemetery,Cemetery,Historic cemetery with mature trees and open space,Active,German Township,German Township,,"8200 Holp Rd., Farmersville, OH 45325",,German Township,Montgomery,"39.679,-84.429",,,,,,,,,,
Camp Charles R. Hook,BSA Camp,Historic BSA camp (closed 1991); now contained within Twin Creek MetroPark; contains oak from Gilwell Park,Closed,Boy Scouts of America (historic),,,"8502 Chamberlain Rd., Germantown, OH 45327",,Germantown,Montgomery,"39.643,-84.369",,,,,,,Contained within Twin Creek MetroPark.,,,
Germantown / Twin Creek Wilderness Tract,Park District Conservation Area,"Large wilderness area with deep ravines, mature forest, and high?quality streams",Active,Five Rivers MetroParks,Five Rivers MetroParks,,,,Germantown,Montgomery,,,,,,,,,https://www.metroparks.org/what-we-do/conservation-leadership/what-we-protect/,,
Germantown Connector Greenway,Greenway Corridor,Greenway corridor linking Germantown MetroPark and Twin Creek,Active,Five Rivers MetroParks,Five Rivers MetroParks,,,,Germantown,Montgomery,,,,,,,,,,,
Germantown Covered Bridge,Covered Bridge,Historic 1870 covered bridge over Little Twin Creek (Bridge ID 35?57?01),Active,City of Germantown,City of Germantown,,"West Center St., Germantown, OH 45327",,Germantown,Montgomery,"39.626,-84.369",,,,,,,Historic covered bridge.,,,
Germantown Dam Recreation Area,Army Corps of Engineers Property,USACE/MCD recreation area with river access and natural habitat,Active,U.S. Army Corps of Engineers,U.S. Army Corps of Engineers,,"Conservancy Rd., Germantown, OH 45327",,Germantown,Montgomery,"39.6505,-84.378",,,,,,,Part of Miami Conservancy District flood?control system.,,,
Germantown MetroPark,Park District Park,"Large MetroPark with old-growth forest, ravines, prairies, meadows, and Twin Creek corridor",Active,Five Rivers MetroParks,Five Rivers MetroParks,,7101 Conservancy Rd.; 6206 Boomershine Rd,1655,Germantown,Montgomery,"39.6211,-84.3722",,,,,,Trailhead,Main entrance; multiple trailheads,https://www.metroparks.org/places-to-go/germantown/,,
Kercher Community Park,Municipal Park,"Large community park with baseball, softball, soccer, pee-wee football, shelters, and open space",Active,City of Germantown,City of Germantown,,1700 S Main St.,,Germantown,Montgomery,,,,,,,,,https://germantown.oh.us/parks-recreation/,,
Twin Creek MetroPark,Park District Park,"Large MetroPark with forests, prairies, ravines, Twin Creek corridor; includes former BSA Camp Hook",Active,Five Rivers MetroParks,Five Rivers MetroParks,,"8502 Chamberlain Rd., Germantown, OH 45327",1000,Germantown,Montgomery,"39.6120,-84.3700",,,,,,,Includes former Camp Charles R. Hook,https://www.metroparks.org/places-to-go/twin-creek/,,
Upper Twin Conservation Area,Park District Conservation Area,Conservation land in the Twin Creek watershed,Active,,Five Rivers MetroParks,,,390,Germantown,Montgomery,,,,,,,,,,,
Veterans Memorial Park,Municipal Park,"Community park with historic structures, gazebo, playground, courts, and pool",Active,City of Germantown,City of Germantown,,75 N Walnut St.,,Germantown,Montgomery,,,,,,,,,https://germantown.oh.us/parks-recreation/,,
Twin Creek Conservation Tract,Park District Conservation Area,"Forest, prairie, and riparian habitat in the Twin Creek watershed; supports high biodiversity.",Active,,Five Rivers MetroParks,,,,Germantown,Montgomery,,,,,,,,,https://www.metroparks.org/what-we-do/conservation-leadership/what-we-protect/,,
Twin Valley Trail Corridor (MetroParks),Greenway Corridor,Long?distance trail corridor connecting MetroParks,Active,Five Rivers MetroParks,Five Rivers MetroParks,,,,Germantown,Montgomery,,,,,,,,,,,
Twin Valley Trail Spur,Connector Trail / Spur,Spur trail corridor connecting to Twin Valley Trail,Active,Five Rivers MetroParks,Five Rivers MetroParks,,,,Germantown,Montgomery,,,,,,,,,,,
Polar Park,Public School Property,"Growing outdoor space with walking trails, shelter, and disc golf practice nets; maintained by Northridge Schools Parks & Recreation class",Active,Northridge Local Schools,Northridge Local Schools,,"Near 2008 Timber Ln, Dayton, OH 45414",,Harrison Township,Montgomery,"39.8377,-84.1951",,,,,,,,,https://harrisontownship.org/services/parks-recreation/,
Shiloh Park,Municipal Park,"Neighborhood park with green space, shelter, and recreation amenities",Active,Harrison Township,Harrison Township,,"Markey Rd near Philadelphia Dr, Dayton, OH 45415",9,Harrison Township,Montgomery,"39.8098,-84.2497",,,,,,,,"Often mislisted online as ""Shiloh Springs Park.""",https://harrisontownship.org/services/parks-recreation/,
Sinclair Park,Municipal Park,"Community park with playground, ballfields, and open space",Active,Harrison Township,Harrison Township,,"685 Shoup Mill Road, Dayton, OH 45415",19,Harrison Township,Montgomery,"39.809,-84.2608",,,,,,,,,https://harrisontownship.org/services/parks-recreation/,
The Rat Skate Park,Public School Property,"State-of-the-art skate park with ramps, rails, pump track, and lighting; maintained by Northridge Schools students",Active,Northridge Local Schools,Northridge Local Schools,,"On Northridge Schools campus, 2011 Timber Ln, Dayton, OH 45414",,Harrison Township,Montgomery,"39.8379,-84.1942",,,,,,,,,https://harrisontownship.org/services/parks-recreation/,
Belle Plain Park,Municipal Park,Neighborhood park with playground and greenspace,Active,City of Huber Heights,City of Huber Heights,,"7715 Belle Plain Dr, Huber Heights, OH",,Huber Heights,Montgomery,,,,,,,,,,,
Canal Lock Park,Municipal Park,Historical lock site and mini-park,Active,City of Huber Heights,City of Huber Heights,,"5999 Endicott Rd, Huber Heights, OH",,Huber Heights,Montgomery,,,,,,,,,Historical canal feature,,
Carriage Hill MetroPark,Park District Park,"Large regional MetroPark with trails, historic farm, visitor center, prairie, equestrian facilities",Active,Five Rivers MetroParks,Five Rivers MetroParks,,"7800 E Shull Rd, Huber Heights, OH",900,Huber Heights,Montgomery,"39.878327,-84.094407",,,,,,,,,https://www.metroparks.org/,
Chambersburg Road Trail Access,Trail Access Point,Access point to regional bikeway network,Public,Miami Valley Trails,,,"Chambersburg Rd, Huber Heights, OH",,Huber Heights,Montgomery,,,,,,,,,,https://www.miamivalleytrails.org,
Community Garden,Municipal Park,Community garden plots and greenspace,Active,City of Huber Heights,City of Huber Heights,,"4301 Powell Rd, Huber Heights, OH",,Huber Heights,Montgomery,,,,,,,,,,,
Community Park,Municipal Park,"Playground, shelter, open greenspace",Active,City of Huber Heights,City of Huber Heights,,"5401 Chambersburg Rd, Huber Heights, OH",,Huber Heights,Montgomery,,,,,,,,,,,
Cottonwood Park,Municipal Park,Neighborhood park with playground and greenspace,Active,City of Huber Heights,City of Huber Heights,,"6000 Fishburg Rd, Huber Heights, OH 45424",,Huber Heights,Montgomery,,,,,,,,,,https://huberheights.org,
Dial Park,Municipal Park,Neighborhood park with greenspace and bike amenity planning,Active,City of Huber Heights,City of Huber Heights,,"5046 Longford Rd, Huber Heights, OH 45424",,Huber Heights,Montgomery,"39.86457,-84.10863",,,,,,,,,https://hhoh.recdesk.com/Community/Facility/Detail?facilityId=28,
Fishburg Road Trail Access,Trail Access Point,Access point to regional bikeway network,Public,Miami Valley Trails,,,"Fishburg Rd, Huber Heights, OH",,Huber Heights,Montgomery,,,,,,,,,,https://www.miamivalleytrails.org,
Flyer Field at Kitty Hawk Park,Municipal Park,Open greenspace with dog park,Active,City of Huber Heights,City of Huber Heights,,"5210 Sabra Ave, Huber Heights, OH",,Huber Heights,Montgomery,,,,,,,,,,,
Gary Sherman Park,Municipal Park,Neighborhood park with playground and lawn,Active,City of Huber Heights,City of Huber Heights,,"6109-6121 Taylorsville Rd, Huber Heights, OH",,Huber Heights,Montgomery,,,,,,,,,,,
Herbert C. Huber Community Park,Municipal Park,"Also known as Community Park; playground, shelter, open greenspace",Active,City of Huber Heights,City of Huber Heights,,"8625 Brandt Pike, Huber Heights, OH 45424",,Huber Heights,Montgomery,,,,,,,,,,https://huberheights.org,
Huber Heights Athletic Fields,Recreation Facility,City-managed athletic fields for youth sports,Active,City of Huber Heights,City of Huber Heights,,"Multiple sites, Huber Heights, OH",,Huber Heights,Montgomery,,,,,,,,,,https://huberheights.org,
Huber Heights Senior Center,Recreation Facility,"Senior programs, events, and community activities",Active,City of Huber Heights,City of Huber Heights,,"6428 Chambersburg Rd, Huber Heights, OH 45424",,Huber Heights,Montgomery,,,,,,,,,,https://huberheights.org,
Huber Heights YMCA,Recreation Facility,"City-partnered YMCA facility offering fitness, aquatics, and programs",Active,YMCA; City of Huber Heights,YMCA; City of Huber Heights,,"7251 Shull Rd, Huber Heights, OH 45424",,Huber Heights,Montgomery,,,,,,,,,,https://huberheights.org,
Miami Villa Park,Municipal Park,Mini-park with greenspace,Active,City of Huber Heights,City of Huber Heights,,"6275 Rip Rap Rd, Huber Heights, OH",,Huber Heights,Montgomery,,,,,,,,,,,
Monita Field Bike and Skate Park,Municipal Park,Bike and skate park with ramps and paved area,Active,City of Huber Heights,City of Huber Heights,,"5045 Fishburg Rd, Huber Heights, OH",,Huber Heights,Montgomery,,,,,,,,,,,
Music Center at The Heights,Recreation Facility,City-owned outdoor amphitheater and event venue,Active,City of Huber Heights,City of Huber Heights,,"6800 Executive Blvd, Huber Heights, OH 45424",,Huber Heights,Montgomery,,,,,,,,,,https://huberheights.org,
Rip Rap Park,Municipal Park,Riverfront park with trail access,Active,City of Huber Heights,City of Huber Heights,,"6281 Rip Rap Rd, Huber Heights, OH",,Huber Heights,Montgomery,,,,,,,,,Great Miami River Trail,,
Rip Rap Road Trail Access,Trail Access Point,Access point to regional bikeway network,Public,Miami Valley Trails,,,"Rip Rap Rd, Huber Heights, OH",,Huber Heights,Montgomery,,,Trail,,,,,,,https://www.miamivalleytrails.org,
Shullgate Park,Municipal Park,Neighborhood park with playground and open field,Active,City of Huber Heights,City of Huber Heights,,"6045 Shull Rd, Huber Heights, OH 45424",,Huber Heights,Montgomery,,,,,,,,,,https://huberheights.org,
Thomas A. Cloud Park,Municipal Park,"Largest city park; shelters, fields, trails, playgrounds",Active,City of Huber Heights,City of Huber Heights,,"4707 Brandt Pike, Huber Heights, OH 45424",,Huber Heights,Montgomery,,,,,,,,,,https://huberheights.org,
Twin Creeks Park,Municipal Park,Neighborhood park with playground and greenspace,Active,City of Huber Heights,City of Huber Heights,,"4480 Leston Dr, Huber Heights, OH",,Huber Heights,Montgomery,,,,,,,,,,https://huberheights.org,
Veterans Memorial,Municipal Park,Memorial plaza and civic greenspace,Active,City of Huber Heights,City of Huber Heights,,"Huber Heights, OH",,Huber Heights,Montgomery,,,,,,,,,,,
Arthur O. Fisher Park,County Park,"Large county-owned park featuring ponds, ball diamonds, courts, shelters, and open natural areas; formerly home of the Montgomery County Fairgrounds.",Active,Montgomery County Parks & Recreation,Montgomery County Parks & Recreation,,"5661 Dayton-Liberty Road, Dayton, OH 45427",150,Jefferson Township,Montgomery,"39.733,-84.2848","J9Q5+7H Dayton, Ohio",,,,,,,"Named for Judge Arthur O. Fisher, a Tuskegee Airman and local civil rights figure.","https://www.daytonlocal.com/directory/profiles/arthur-o-fisher-park/; https://www.google.com/maps?q=39.7330,-84.2848",
Bear Creek Cemetery,Cemetery,Historic cemetery with mature canopy and passive walking access,Active,Jefferson Township,Jefferson Township,,"1800 Union Rd, Dayton, OH 45417",,Jefferson Township,Montgomery,"39.7405,-84.3089",,,,,,,,"Qualifies due to canopy, wildlife presence, and walkable grounds.",,
Sycamore State Park East Access Trailhead,Trailhead,Informal eastern access point to Sycamore State Park via roadside pull-off,Active,Ohio Department of Natural Resources,,,"Near 4800 Diamond Mill Rd, Dayton, OH 45417",,Jefferson Township,Montgomery,"39.7708,-84.3301",,,,,,,,Verified roadside access point to state park trail system; Great Miami River Trail feeder segment.,,
Union Road Cemetery,Cemetery,Historic cemetery with open lawn and public walking access,Active,Jefferson Township,Jefferson Township,,"2200 Union Rd, Dayton, OH 45417",,Jefferson Township,Montgomery,"39.7489,-84.3082",,,,,,,,Qualifies due to passive recreation and ecological value.,,
Wolf Creek Floodplain Natural Area,Controversial,Riparian floodplain habitat with wildlife and public access at road crossings,Active,Miami Conservancy District,Miami Conservancy District,,"Near Wolf Creek Pike & Union Rd, Jefferson Township, OH",,Jefferson Township,Montgomery,"39.7602,-84.3168",,,,,,,,Recognized riparian natural area within township footprint,,
Wolf Creek Greenway (Jefferson Segment),Controversial,Regional trail corridor with public access at crossings,Active,Montgomery County,Montgomery County,,"Along Wolf Creek, Jefferson Township, OH",,Jefferson Township,Montgomery,"39.757,-84.314",,,,,,,,Official regional greenway; only Jefferson Township segments included,,
Berwin Park,Municipal Park,Train-themed playground; picnic tables; benches; small basketball area,Active,City of Kettering,City of Kettering,,"1400 Berwin Ave., Kettering, OH 45429",1.7,Kettering,Montgomery,"39.6959,-84.168",,,,,,,,,https://www.playkettering.org/berwin-park/,
Blackhawk Park,Municipal Park,Ball fields; basketball courts; playground; picnic shelter; grill; paved path,Active,City of Kettering,City of Kettering,,"3005 Blackhawk Dr., Kettering, OH 45420",7.3,Kettering,Montgomery,"39.6847,-84.1298",,,,,,,,,https://www.playkettering.org/blackhawk-park/,
Delco Park,Municipal Park,Fishing pond; BMX track; shelters; restrooms; trails; large open fields,Active,City of Kettering,City of Kettering,,"1700 Delco Park Dr., Kettering, OH 45420",69,Kettering,Montgomery,"39.7053,-84.1137",,,,,,,,,https://www.playkettering.org/delco-park/,
Ernst Park,Municipal Park,Shelter; grills; bike/walking paths; playground; drinking fountains; picnic tables,Active,City of Kettering,City of Kettering,,"1030 E. David Rd., Kettering, OH 45429",14,Kettering,Montgomery,"39.6894,-84.1477",,,,,,,,,https://www.playkettering.org/ernst-park/,
Gentile Nature Park,Municipal Park,Zipline; nature playground; bike path connector; historical displays; walking path,Active,City of Kettering,City of Kettering,,"915 Peach Orchard Rd., Kettering, OH 45420",19,Kettering,Montgomery,"39.717,-84.1347",,,,,,,,,https://www.playkettering.org/gentile-nature-park/,
Glaser Park,Municipal Park,Railroad-themed playground; swings; basketball court; picnic tables; walking loop,Active,City of Kettering,City of Kettering,,"1851 Doris Dr., Kettering, OH 45429",0.8,Kettering,Montgomery,"39.6957,-84.169",,,,,,,,,https://www.playkettering.org/glaser-park/,
Hills & Dales MetroPark,Park District Park,Historic Olmsted?designed park with trails and wetlands,Active,Five Rivers MetroParks,Five Rivers MetroParks,,,63,Kettering,Montgomery,,,,,,,,,,,
