Name,Type,Description,Status,Ownership,Management,Coordination,Address,Acres,Location,County,GPS Coordinates,Plus Code,Trail Role,Parent Trail Name,Trail Segment Type,Trail Access Type,Trail Length (Miles),Features,Notes,URL,
Kantner Park,Municipal Park,Accessible playground; basketball courts; walking paths; picnic areas,Active,City of Kettering,City of Kettering,,"1512 Brownleigh Rd., Kettering, OH 45429",5,Kettering,Montgomery,"39.6899,-84.1730",,None,,None,None,,,,https://www.playkettering.org/kantner-park/,
Keelboat Park,Municipal Park,Riverfront park with historical theme and open space,Active,City of Miamisburg,City of Miamisburg,,151 Pearl St.,,Miamisburg,Montgomery,,,None,,None,None,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf,
Kennedy Park,Municipal Park,Splash pad; farm-themed playground; pickleball courts; ball fields; restrooms; picnic areas,Active,City of Kettering,City of Kettering,,"5073 Bigger Rd., Kettering, OH 45440",15,Kettering,Montgomery,"39.6769,-84.1290",,None,,None,None,,,,https://www.playkettering.org/kennedy-park/,
Keowee Street Stormwater Green,Controversial,Stormwater green infrastructure; drainage features; vegetation,Active,City of Dayton,,,"Keowee St., Dayton, OH",,Dayton,Montgomery,"39.0,-84.0",,,,,,,,,https://www.daytonohio.gov/409/Storm-Water-Management-Program,
Kercher Community Park,Municipal Park,"Large community park with baseball, softball, soccer, pee-wee football, shelters, and open space",Active,City of Germantown,City of Germantown,,1700 S Main St.,,Germantown,Montgomery,,,None,,None,None,,,,https://germantown.oh.us/parks-recreation/,
Kettering Field,Municipal Park,Athletic fields; synthetic turf; pickleball courts; tennis courts; improved lighting; expanded parking; staffed facility,Active,City of Dayton,City of Dayton,,"444 N. Bend Blvd., Dayton, OH 45404",,Dayton,Montgomery,"39.7790,-84.1780",,None,,None,None,,,,https://www.daytonohio.gov/CivicAlerts.aspx?AID=760,
Lake Forest Park,Municipal Park,Playground equipment in a neighborhood greenspace,Active,City of West Carrollton,City of West Carrollton,,131 Lake Forest Dr.,,West Carrollton,Montgomery,,,None,,None,None,,,Small neighborhood park with basic play amenities.,,
Lake of the Woods Campground,Private Campground,"250-acre private campground with fishing lake, RV sites, tent sites, seasonal camping, and recreation amenities",Private,Private,,,"10891 Jordan Rd, Farmersville, OH 45325",,Farmersville,Montgomery,"39.6795,-84.4397",,No,,,,,,Campground; fishing lake; RV sites; tent sites; recreation amenities,https://lakeofthewoodscampground.com,
Lehigh Park,Municipal Park,Playground equipment; picnic tables; grills; shelters,Active,City of Moraine,City of Moraine,,2607 Lehigh Place,0.5,Moraine,Montgomery,,,None,,None,None,,,,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052,
Leiwig Park,Municipal Park,Picnic shelter with electricity; playground equipment; paved trail; basketball court,Active,City of West Carrollton,City of West Carrollton,,5299 Lindbergh Blvd.; 5500 Andover Ave,,West Carrollton,Montgomery,,,None,,None,None,,,Includes a shelter with power and mixed recreation amenities.,,
Lincoln Park Civic Commons,Municipal Park,Civic art; pond; walkways; event lawn; cultural gathering space,Active,City of Kettering,City of Kettering,,"675 Lincoln Park Blvd., Kettering, OH 45429",14,Kettering,Montgomery,"39.6970,-84.1550",,None,,None,None,,,,https://www.playkettering.org/lincoln-park-civic-commons/,
Linden Community Green,Municipal Park,No listed amenities,Active,City of Dayton,City of Dayton,,"Linden neighborhood, Dayton, OH",,Dayton,Montgomery,"39.0,-84.0",,None,,None,None,,,,,
Linden Heights Bikeway Access,Municipal Park,Trail access; neighborhood connector,Active,City of Dayton,City of Dayton,,"Linden Heights, Dayton, OH",,Dayton,Montgomery,"39.0,-84.0",,None,,None,None,,,,,
Lions Park (Jill Park),Municipal Park,Playground equipment and baseball field; green‑space park,Active,Village of Carlisle,Village of Carlisle,,Monroe Dr.,,Carlisle,Montgomery,,,None,,None,None,,,,https://www.carlisleoh.org/community/parks_recreation/index.php,
Liscum Drive Green,Municipal Park,No listed amenities,Active,City of Dayton,City of Dayton,,"Liscum Dr., Dayton, OH",,Dayton,Montgomery,"39.0,-84.0",,None,,None,None,,,,,
Little Mound Park,Park District Park,"Neighborhood park with sled hill and play equipment including climber, slide, zip line, swings, and infant swings",Active,Centerville–Washington Park District,Centerville–Washington Park District,,9490 Still Meadow Lane,5.141,Centerville,Montgomery,,,,,,,,Informal play area; sled hill,Picnic tables; replica Miamisburg Mound; acquired 1978,https://cwpd.org/parks/little-mound/,
Little Woods Park,Park District Park,Nature park emphasizing native plants with seasonal color; mowed north–south path,Active,Centerville–Washington Park District,Centerville–Washington Park District,,Far Hills Avenue & Colonial Lane,3.6,Centerville,Montgomery,,,None,,None,None,,,Developed with native plantings; donated by Yeck Family Foundation in 2014,https://cwpd.org/parks/little-woods/,
Lohrey Park,Municipal Park,Playground; basketball court; open green space; walking paths,Active,City of Dayton,City of Dayton,,"2366 Glenarm Ave., Dayton, OH 45420",,Dayton,Montgomery,"39.7250,-84.1240",,None,,None,None,,,,https://www.mypacer.com/parks/165641/lohrey-park-dayton,
Lohrey Recreation Center,Municipal Park,Gymnasium; indoor pool; fitness center; multipurpose rooms; community programming,Active,City of Dayton,City of Dayton,,"2366 Glenarm Ave., Dayton, OH 45420",,Dayton,Montgomery,"39.7250,-84.1240",,None,,None,None,,,,https://www.daytonohio.gov/Facilities/Facility/Details/Lohrey-Recreation-Center-25,
Loma Linda Park,Municipal Park,Playground; open green space; walking paths,Active,City of Dayton,City of Dayton,,"3500 Valerie Arms Dr., Dayton, OH 45405",,Dayton,Montgomery,"39.8020,-84.2380",,None,,None,None,,,,https://www.mypacer.com/parks/165642/loma-linda-park-dayton,
MacIntosh Park,Municipal Park,Baseball/softball diamond; basketball court; electricity; picnic tables; playground; restrooms; water availability,Active,City of Dayton,City of Dayton,,"Edwin C. Moses Blvd. at W. Riverview Ave., Dayton, OH 45402",,Dayton,Montgomery,"39.7640,-84.2040",,None,,None,None,,,,https://www.daytonohio.gov/Facilities/Facility/Details/MacIntosh-Park-17,
Mad River Bikeway Access (MetroParks),Trail Access Point,Bikeway access point along Mad River Trail; contained within Eastwood MetroPark,Active,Five Rivers MetroParks,,,"Near Eastwood MetroPark, Dayton, OH",,Dayton,Montgomery,"39.0,-84.0",,Bikeway Access Point,Mad River Bikeway,None,Access Point,,,Bikeway access point contained within Eastwood MetroPark,https://www.miamivalleytrails.org/trails/mad-river-trail,
Mad River Conservancy Corridor,Water Authority Land,Federal flood‑control corridor along the Mad River,Active,Miami Conservancy District,Miami Conservancy District,,"Near Harshman Rd., Dayton, OH 45424",,Dayton,Montgomery,"39.7800,-84.1100","86F9+H3 Dayton, Ohio",None,,None,None,,,Flood‑control corridor; levees and channel maintained by MCD.,https://mcdwater.org,
Mad River North Connector,Controversial,Trail corridor linking Eastwood and Huffman areas,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Near Harshman Rd., Dayton, OH",,Dayton,Montgomery,,,None,,None,None,,,Connector corridor,,
Mad River Trail Access — Old Harshman Rd,Trail Access Point,Trail access point to the Mad River Trail,Active,Miami Conservancy District,Miami Conservancy District,,"Old Harshman Rd, Riverside, OH",,Riverside,Montgomery,,,Bikeway Access Point,Mad River Bikeway,None,Access Point,,,,https://www.miamivalleytrails.org,
Madison Lakes Park,County Park,"Large county-owned park with multiple fishing lakes, shelters, and open recreation areas.",Active,Montgomery County Parks & Recreation,Montgomery County Parks & Recreation,,"581 Olive Road, Dayton, OH 45427",,Trotwood,Montgomery,"39.7406, -84.3334","J9W2+X9 Dayton, Ohio",None,,,None,,,One of three official Montgomery County parks.,"https://www.google.com/maps?q=39.7406,-84.3334",
Madison Park,Municipal Park,Pavilion; shelters; playground; soccer fields; tennis courts; exercise trail,Active,City of Trotwood,City of Trotwood,,"301 S Broadway, Trotwood, OH 45426",,Trotwood,Montgomery,"39.7408,-84.2904",,None,,None,None,,,Verified municipal park,https://www.trotwoodchamber.org/recreation.php,
Mallory Park,Municipal Park,Basketball court; parking; playground; picnic tables; restrooms,Active,City of Dayton,City of Dayton,,"Germantown St. at Burwood Ave., Dayton, OH 45417",,Dayton,Montgomery,"39.7410,-84.2450",,None,,None,None,,,,https://www.daytonohio.gov/Facilities/Facility/Details/Mallory-Park-Shelter-18,
Manor Park,Park District Park,"Neighborhood park with climber, slides, belt swings, infant swings, and picnic tables",Active,Centerville–Washington Park District,Centerville–Washington Park District,,989 Thorndale Drive,7.431,Centerville,Montgomery,,,,,,,,Informal play area,Acquired 1971,https://cwpd.org/parks/manor/,
Market Square Building,Recreation Facility,Civic building used for events and programs,Active,City of Miamisburg,City of Miamisburg,,4 N. Main St.,,Miamisburg,Montgomery,,,,,,,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf,
Martindale Road Neighborhood Park,Municipal Park,Major playground structure and tennis courts,Active,City of Union,City of Union,,211 W Martindale Rd.,,Union,Montgomery,,,None,,None,None,,,,https://www.unionoh.org/1257/Places-to-Play,
Mary Francis Playlot,Municipal Park,Small neighborhood playlot,Active,City of Miamisburg,City of Miamisburg,,1509 Mary Francis Ct.,,Miamisburg,Montgomery,,,None,,None,None,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf,
McCabe Park,Municipal Park,Basketball court; playground; restrooms; picnic tables,Active,City of Dayton,City of Dayton,,"3200 Home Ave., Dayton, OH 45417",,Dayton,Montgomery,"39.7410,-84.2450",,None,,None,None,,,,https://www.daytonohio.gov/Facilities/Facility/Details/McCabe-Park-Shelter-19,
McIntosh Park,Municipal Park,Spray park; playground; basketball courts; picnic shelter; open green space; community events,Active,City of Dayton,City of Dayton,,"Edwin C. Moses Blvd. at W. Riverview Ave., Dayton, OH 45402",,Dayton,Montgomery,"39.7640,-84.2040",,None,,None,None,,,,https://www.daytonlocal.com/directory/parks/mcintosh-park/,
Meadowlane Park,Municipal Park,Neighborhood park with open space,Active,City of Miamisburg,City of Miamisburg,,2025 Old Central Ave.,,Miamisburg,Montgomery,,,None,,None,None,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf,
Medlar Conservation Area,Park District Park,"Conservation area with forest, meadow, and river corridor habitat",Active,Five Rivers MetroParks,Five Rivers MetroParks,,"3001 Medlar Rd., Miamisburg, OH 45342",450,Miamisburg,Montgomery,,,Yes,,,,,,Part of Great Miami River corridor,https://www.metroparks.org/,
Medlar Road River Access,Fishing Access,River access point near Medlar Conservation Area,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Medlar Rd., Miamisburg, OH",,Miamisburg,Montgomery,,,Yes,,,,,,River access,,
Memorial Park,Municipal Park,"Small memorial park honoring military, police, and firefighters",Active,City of Riverside,City of Riverside,,"Springfield Street & Norman Boulevard, Riverside, OH",0.15,Riverside,Montgomery,,,None,,None,None,,Memorial,,https://cms3.revize.com/revize/riverside/Parks%20&%20Recreation%20Amenities.pdf?t=202508061644210&t=202508061644210,
Meyer Park,Municipal Park,Neighborhood park with open green space,Active,City of Miamisburg,City of Miamisburg,,385 Overland Trail,,Miamisburg,Montgomery,,,None,,None,None,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf,
Miami & Erie Canal Park,Municipal Park,Picnic shelter; playground equipment; canoe launch,Active,City of West Carrollton,City of West Carrollton,,5457 Marina Dr.,,West Carrollton,Montgomery,,,None,,None,None,,,Located on the canal; includes water access and corridor adjacency.,,
Miami Conservancy District Flood‑Control Lands — Mad River,Water Authority Land,Flood‑control corridor along the Mad River,Active,Miami Conservancy District,Miami Conservancy District,,"Near Harshman Rd., Dayton, OH 45424",,Dayton,Montgomery,"39.7800,-84.1100","86F9+H3 Dayton, Ohio",None,,None,None,,,Descriptive name; MCD does not assign formal site names to flood‑control lands; levees and channel maintained by MCD.,https://mcdwater.org,
Miami Villa Park,Municipal Park,Mini-park with greenspace,Active,City of Huber Heights,City of Huber Heights,,"6275 Rip Rap Rd, Huber Heights, OH",,Huber Heights,Montgomery,,,None,,None,,,,,,
Miamisburg Community Center,Recreation Facility,Primary community center with programs and activities,Active,City of Miamisburg,City of Miamisburg,,305 E. Central Ave.,,Miamisburg,Montgomery,,,,,,,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf,
Miamisburg Community Center North,Recreation Facility,Community recreation building,Active,City of Miamisburg,City of Miamisburg,,224 Maple Ave.,,Miamisburg,Montgomery,,,,,,,,,,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf,
Miamisburg High School Nature Edge,Public School Property,Wooded perimeter and open natural edge with public walking access outside school hours,Active,Miamisburg Schools,Miamisburg Schools,,"1860 Belvo Rd, Miamisburg, OH 45342",,Miami Township,Montgomery,"39.6274,-84.2619",,Yes,,,,,,Qualifies due to public access and ecological edge habitat,,
Miamisburg Mound,State Historical Site,"One of the largest Adena mounds in the U.S., with stairs and overlook; largest Adena burial mound in Ohio",Active,Ohio History Connection,,,"900 Mound Rd., Miamisburg, OH 45342",37,Miamisburg,Montgomery,"39.6330, -84.2870","78X3+6V Miamisburg, Ohio",,,,,,,Major prehistoric earthwork,https://www.miamisburg.org; www.ohiohistory.org,
Monita Field Bike and Skate Park,Municipal Park,Bike and skate park with ramps and paved area,Active,City of Huber Heights,City of Huber Heights,,"5045 Fishburg Rd, Huber Heights, OH",,Huber Heights,Montgomery,,,None,,None,,,,,,
Monument Avenue River Parcel,Greenway,Small riverfront parcel with riparian vegetation,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Near Monument Ave., Dayton, OH",,,Montgomery,,,Yes,,,,,,River corridor fragment,,
Mound Park,Municipal Park,Historic park adjacent to Miamisburg Mound State Memorial; playground; shelters; restrooms,Active,City of Miamisburg,City of Miamisburg,,900 Mound Rd.,,Miamisburg,Montgomery,,,None,,None,None,,,Adjacent to prehistoric Adena Miamisburg Mound,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf; https://www.playmiamisburg.com/parks_facilities/parks/,
Mud Lick or Jasper Road Covered Bridge,Covered Bridge,Bridge ID 35‑57‑36; privately owned,Active,Private,Private,,,,Dayton,Montgomery,,,None,,None,None,,,Private property.,,
Music Center at The Heights,Recreation Facility,City-owned outdoor amphitheater and event venue,Active,City of Huber Heights,City of Huber Heights,,"6800 Executive Blvd, Huber Heights, OH 45424",,Huber Heights,Montgomery,,,,,,,,,,https://huberheights.org,
National Aviation Hall of Fame,Museum,National aviation honors museum located inside the USAF Museum,Active,U.S. Air Force,U.S. Air Force,,"1100 Spaatz St., Dayton, OH 45433",,Dayton,Montgomery,"39.7810,-84.1100","86F9+Q6 Dayton, Ohio",None,,None,None,,,,https://www.nationalaviation.org,
National Museum of the United States Air Force,Museum,World’s largest military aviation museum with extensive exhibits,Active,U.S. Air Force,U.S. Air Force,,"1100 Spaatz St., Dayton, OH 45433",1000+,Dayton,Montgomery,"39.7810,-84.1100","86F9+Q6 Dayton, Ohio",None,,None,None,,,Major national museum,https://www.nationalmuseum.af.mil,
Needmore Conservation Area,Park District Conservation Area,Conservation land along the Stillwater River,Active,Five Rivers MetroParks,Five Rivers MetroParks,,,,Dayton,Montgomery,,,None,,None,None,,,,,
Nordale Park,Municipal Park,Playground; pavilion; picnic tables; basketball courts; open field; shaded areas; street parking,Active,City of Dayton,City of Dayton,,"Nordale Ave. at Enterprise Ave., Dayton, OH 45420",7.8,Dayton,Montgomery,"39.7410,-84.1400",,None,,None,None,,,,https://parkmagnet.com/united-states/ohio/dayton/nordale-park,
North Broadway Park,Municipal Park,Picnic shelter; playground,Active,City of Trotwood,City of Trotwood,,"460 N Broadway, Trotwood, OH 45426",,Trotwood,Montgomery,"39.7547,-84.2910",,None,,None,None,,,Verified municipal park,https://www.trotwoodchamber.org/recreation.php,
Northmont High School Outdoor Athletic Complex,Public School Property,Outdoor athletic fields and track for Northmont High School,Active,Northmont City Schools,Northmont City Schools,,"4916 National Rd., Clayton, OH 45315",,Clayton,Montgomery,"39.8590,-84.3230","86JQ+9W Clayton, Ohio",No,,,,,,School athletic facilities,,
Northview Park,Municipal Park,Neighborhood park with playground and open green space,Active,City of Clayton,City of Clayton,,"Northview Park, Lavon Ct.",,Clayton,Montgomery,,,None,,None,None,,,Verified via Facility/Details/3.,http://clayton.oh.us/Facilities/Facility/Details/3,
Northwest Recreation Center,Municipal Park,Indoor pool; gymnasiums; fitness room; multipurpose rooms; activity room; game room; computer lab; outdoor ball diamonds; outdoor courts,Active,City of Dayton,City of Dayton,,"1600 Princeton Dr., Dayton, OH 45406",,Dayton,Montgomery,"39.7870,-84.2380",,None,,None,None,,,,https://www.daytonohio.gov/422/Recreation,
Nutt Woods Park,Park District Park,"Small wooded park with spring wildflowers including bloodroot, trillium, spring beauties, and goldenseal",Active,Centerville–Washington Park District,Centerville–Washington Park District,,10188 Ashpark Court,3.075,Centerville,Montgomery,,,,,,,,Hiking trails,Acquired 1978,https://cwpd.org/parks/nutt-woods/,
Oak and Ivy Park,Municipal Park,Open lawns; walking paths; pond; event space; picnic areas,Active,City of Dayton,City of Dayton,,"803 Anderson Goodrich Ct., Dayton, OH 45402",,Dayton,Montgomery,"39.7570,-84.2160",,None,,None,None,,,,https://www.mapquest.com/us/ohio/oak-ivy-park-753302759,
Oak Creek Park,Municipal Park,Playground; picnic areas; walking path,Active,City of Kettering,City of Kettering,,"2239 Berrycreek Dr., Kettering, OH 45440",5,Kettering,Montgomery,"39.6768,-84.1139",,None,,None,None,,,,https://www.playkettering.org/oak-creek-park/,
Oak Creek South Park,Park District Park,"Neighborhood park with play equipment, open play area, and paved path",Active,Centerville–Washington Park District,Centerville–Washington Park District,,7893 McEwen Road,6,Centerville,Montgomery,,,,,,,,Paved path,Grill; picnic tables; drinking fountain; acquired 1975,https://cwpd.org/parks/oak-creek-south/,
Oak Grove Park,Park District Park,"Large community park with fields, courts, playground, paved trails, and natural areas",Active,Centerville–Washington Park District,Centerville–Washington Park District,,1790 E. Social Row Road,102.058,Centerville,Montgomery,,,,,,,,Paved multi-use trails,AED; EV charging; sled hill; restrooms; acquired 1993–2001,https://cwpd.org/parks/oak-grove/,
Oak Park,Municipal Park,Playground; shelter; grill; picnic tables; courts; ball field; walking path,Active,City of Kettering,City of Kettering,,"2055 Malcom Dr., Kettering, OH 45420",,Kettering,Montgomery,"39.7040,-84.1355",,None,,None,None,,,,https://www.playkettering.org/oak-park/,
Oberer Field,Municipal Park,Athletic field complex used for youth sports and community events,Active,City of Englewood,City of Englewood,,115 Union Blvd.,,Englewood,Montgomery,,,None,,None,None,,,,https://www.englewood.oh.us/,
Oberer Field,Municipal Park,Athletic field used for community sports within Englewood’s park system,Active,City of Englewood,City of Englewood,,"Arcadia Boulevard, Englewood, Ohio 45322",,Englewood,Montgomery,,,None,,,,,,,https://www.englewood.oh.us/189/Parks-Playgrounds,
ODNR Mad River Fishing Access (Eastwood),Fishing Access,ODNR‑recognized fishing access near Eastwood Lake and the Mad River,Active,Ohio Department of Natural Resources,Ohio Department of Natural Resources,,"Near Harshman Rd., Dayton, OH 45424",185,Dayton,Montgomery,"39.7810,-84.1080","86F9+Q6 Dayton, Ohio",None,,None,None,,,Located at Eastwood Lake (185 acres) within Eastwood MetroPark,https://ohiodnr.gov,
ODNR Stillwater River Fishing Access,Fishing Access,Multiple ODNR‑recognized fishing access sites along the Stillwater River,Active,Ohio Department of Natural Resources,Ohio Department of Natural Resources,,,,,Montgomery,,,None,,None,None,,,,,
Old Lane Park,Park District Park,Neighborhood park with play equipment and open play area,Active,Centerville–Washington Park District,Centerville–Washington Park District,,1000 Old Lane,3,Centerville,Montgomery,,,,,,,,Informal play area,Picnic tables; acquired 1967,https://cwpd.org/parks/old-lane/,
Old River Sports Complex,Municipal Park,"Athletic complex with baseball fields, open turf, and recreation facilities",Active,City of Oakwood,City of Oakwood,,225 Old River Trail,,Oakwood,Montgomery,,,None,,None,None,,,Primary sports complex serving youth athletics.,,
Ora Everetts Park,Municipal Park,Playground; picnic tables; grills; shelters; ball fields; 1/4‑mile walking path,Active,City of Moraine,City of Moraine,,3050 Kreitzer Road,13,Moraine,Montgomery,,,None,,None,None,,,Situated on the same site as the Gerhardt Civic Center.,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052,
Orchardly Park,Municipal Park,Playground; splash pad; courts; picnic shelter,Active,City of Oakwood,City of Oakwood,,343 Wonderly Ave.,,Oakwood,Montgomery,,,None,,None,None,,,Neighborhood park with water play and courts.,,
Parkgrove Drive Park,Municipal Park,Basketball courts and neighborhood recreation space,Active,City of Union,City of Union,,Parkgrove Dr.,,Union,Montgomery,,,None,,None,None,,,,https://www.unionoh.org/1257/Places-to-Play,
Pasadena Green Space,Municipal Park,Open lawn; walking access,Active,City of Kettering,City of Kettering,,"3200 N. Marshall Rd., Kettering, OH 45429",1.5,Kettering,Montgomery,"39.7160,-84.1590",,None,,None,None,,,,https://www.playkettering.org/pasadena-green-space/,
Paul Laurence Dunbar House,State Memorial,National Historic Landmark home of poet Paul Laurence Dunbar,Active,Ohio History Connection,,,"219 E. 3rd St, Dayton, OH",,Dayton,Montgomery,"39.7570, -84.2340","85FQ+M7 Dayton, Ohio",No,,,,,,Part of Dayton Aviation Heritage NHP,https://www.nps.gov/places/dunbar-house.htm,
Pigeye Conservation Area,Park District Conservation Area,"Mature upland and bottomland forest, wildflowers, thickets, spring‑fed wetland, and Pigeye Creek",Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Near Meeker Rd. & Westfall Dr., Dayton, OH",111.5,Dayton,Montgomery,"39.825,-84.264",,None,,None,None,,,Very limited public access; no trails or parking.,https://www.metroparks.org/what-we-do/conservation-leadership/what-we-protect/#pigeye-conservation-area,
Pinnacle Park,Municipal Park,Playground; picnic tables; grills; shelters; basketball court,Active,City of Moraine,City of Moraine,,4800 Pinnacle Road,3,Moraine,Montgomery,,,None,,None,None,,,,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052,
Pinnacle Road Bike Path,Municipal Park,Paved bike path connecting residential areas to the Johnny Appleseed Trail,Active,City of Moraine,City of Moraine,,Pinnacle Road corridor,,Moraine,Montgomery,,,None,,None,None,,,Connector trail,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052,
Pinnacle Tot Lot,Municipal Park,Playground; picnic tables; grills; shelters; courts; hiking trail spur,Active,City of Moraine,City of Moraine,,3670 Charlotte Mill Drive,1,Moraine,Montgomery,,,None,,None,None,,,Trailhead for a .1‑mile spur to the Johnny Appleseed Trail.,https://moraineoh.myrec.com/info/dept/details.aspx?DeptInfoID=1052,
Pleasant Hill Park,Park District Park,Neighborhood park with play equipment and large natural area under development with trails and signage,Active,Centerville–Washington Park District,Centerville–Washington Park District,,358 Zengel Drive,37,Centerville,Montgomery,,,,,,,,Hiking trails,Nature play area; 32 acres added 2016; Clean Ohio Fund,https://cwpd.org/parks/pleasant-hill/,
Polar Park,Public School Property,"Growing outdoor space with walking trails, shelter, and disc golf practice nets; maintained by Northridge Schools Parks & Recreation class",Active,Northridge Local Schools,Northridge Local Schools,,"Near 2008 Timber Ln, Dayton, OH 45414",,Harrison Township,Montgomery,"39.8377,-84.1951",,No,,,,,,,https://harrisontownship.org/services/parks-recreation/,
Pondview Park,Municipal Park,Walking trails; pond; bridges; benches; restrooms; drinking fountain,Active,City of Kettering,City of Kettering,,"2320 Pondview Dr., Kettering, OH 45440",12.5,Kettering,Montgomery,"39.6829,-84.1119",,None,,None,None,,,,https://www.playkettering.org/pondview-park/,
Possum Creek MetroPark,Park District Park,"Farm, prairies, fishing ponds, trails, nature play",Active,Five Rivers MetroParks,Five Rivers MetroParks,,,580,Dayton,Montgomery,,,Yes,,,,,,Farm + prairie,,
Powell Park,Municipal Park,Gazebo surrounded by flowers,Active,City of Brookville,City of Brookville,,Mulberry St.,,Brookville,Montgomery,,,None,,None,,,,Small ornamental park,,
Princeton Park,Municipal Park,No listed amenities,Active,City of Dayton,City of Dayton,,"Princeton Dr., Dayton, OH 45406",,Dayton,Montgomery,"39.0,-84.0",,None,,None,None,,,,https://liveindayton.org/princeton-heights/,
Quail Run Park,Park District Park,Neighborhood park with open sports area and play equipment,Active,Centerville–Washington Park District,Centerville–Washington Park District,,1180 Timberhawk Trail; 9561 Quailwood Trail,9.16,Centerville,Montgomery,,,,,,,,Hiking trails,Picnic tables; sled hill; acquired 1974,https://cwpd.org/parks/quail-run/,
Rahn Park,Park District Park,"Small neighborhood park with climbers, slides, swings, and picnic tables",Active,Centerville–Washington Park District,Centerville–Washington Park District,,223 W. Rahn Road,0.98,Centerville,Montgomery,,,,,,,,Informal play area,Donated 1964,https://cwpd.org/parks/rahn/,
Red Coach Park,Park District Park,"Neighborhood park with climbers, slides, swings, and a small picnic shelter",Active,Centerville–Washington Park District,Centerville–Washington Park District,,5500 Royalwood Drive,5,Centerville,Montgomery,,,,,,,,Informal play area,Drinking fountain; shelter; acquired 1967,https://cwpd.org/parks/red-coach/,
Residence Park,Municipal Park,Basketball court; picnic tables; playground; restrooms; water availability,Active,City of Dayton,City of Dayton,,"W. Second St. at Elmhurst Rd., Dayton, OH 45417",,Dayton,Montgomery,"39.7540,-84.2580",,None,,None,None,,,,https://www.daytonohio.gov/Facilities/Facility/Details/Residence-Park-Shelter-20,
Rice Field,Municipal Park,Athletic field complex,Active,City of Miamisburg,City of Miamisburg,,9131 Dayton Cincinnati Pk.,,Miamisburg,Montgomery,,,None,,None,None,,,Primarily athletic use.,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf,
Rip Rap Park,Municipal Park,Riverfront park with trail access,Active,City of Huber Heights,City of Huber Heights,,"6281 Rip Rap Rd, Huber Heights, OH",,Huber Heights,Montgomery,,,,,,,,,Great Miami River Trail,,
Rip Rap Road Trail Access,Trail Access Point,Access point to regional bikeway network,Public,Miami Valley Trails,,,"Rip Rap Rd, Huber Heights, OH",,Huber Heights,Montgomery,,,Great Miami River Trail,,,,,,,https://www.miamivalleytrails.org,
River Ridge Conservation Area,Park District Conservation Area,Steep wooded slopes and riparian forest along the Great Miami River,Active,Five Rivers MetroParks,Five Rivers MetroParks,,,,Dayton,Montgomery,,,None,,None,None,,,,https://www.metroparks.org/what-we-do/conservation-leadership/what-we-protect/,
Riverfront Park,Municipal Park,"Riverfront civic park with amphitheater, splash pad, playground, and bikeway access",Active,City of Miamisburg,City of Miamisburg,,3 N. Miami Ave.,,Miamisburg,Montgomery,,,None,,None,None,,,Major civic riverfront park and event venue.,https://storage.googleapis.com/proudcity/playmiamisburgoh/uploads/2022/05/Parks-Map-2022.pdf; https://www.playmiamisburg.com/parks_facilities/parks/,
RiverScape Buffer Zone,Park District Conservation Area,Natural buffer area adjacent to RiverScape MetroPark,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Near Monument Ave., Dayton, OH",,Dayton,Montgomery,,,None,,None,None,,,,,
RiverScape MetroPark,Park District Park,Signature downtown riverfront park and event space,Active,Five Rivers MetroParks,Five Rivers MetroParks,,,45,Dayton,Montgomery,,,Yes,,,,,,Downtown Dayton,,
Riverside Drive Bikeway Access,Access Point,Trail access; paved multi-use path; river corridor access,Active,City of Dayton,City of Dayton,,"Riverside Dr., Dayton, OH",,Dayton,Montgomery,"39.0,-84.0",,None,,None,None,,,,https://www.miamivalleytrails.org/trails/great-miami-river-trail,
Riverside Drive Riparian Parcel,Greenway,Riparian parcel along Stillwater River,Active,Five Rivers MetroParks,Five Rivers MetroParks,,"Riverside Dr., Dayton, OH",,,Montgomery,,,Yes,,,,,,River corridor fragment,,
